Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,CGPA,CGPA_Category
1,-0.4044867675763731,3.8,0.8207337705286728,0.05654312980212756,-1.0058956185603694,2.99,Moderate,7.4750000000000005,Good
2,-1.5284513874481986,3.5,0.3414731745995211,0.8858818592204507,-0.5284701776425816,2.75,Low,6.875,Good
3,-1.6689469649321769,3.9,1.1630627676209244,-0.8912725609616701,0.1080970769144684,2.67,Low,6.675,Good
4,-0.6854779225443296,2.1,-0.20625322074808128,-0.5950801575979833,0.8640206917009656,2.88,Moderate,7.199999999999999,Good
5,0.4384866973274952,0.6,-0.6855138166772335,-0.29888775423429637,0.9038061451107812,3.51,High,8.774999999999999,Achiever
6,-1.036716866254275,2.1,0.3414731745995211,-1.4244188870163064,1.3016606792089376,2.85,Moderate,7.125,Good
7,0.3682389085855064,0.7,-1.5071034096986373,1.774459069311511,-0.011259283314978441,3.08,High,7.7,Good
8,0.6492300635534629,1.8,-1.3017060114432866,0.1750200911476024,0.3468097973733624,3.2,High,8.0,Good
9,-1.5986991761901874,3.6,-0.8224454155141343,0.7674048978749759,0.2274534371439156,2.82,Low,7.05,Good
10,0.1574955423595393,0.7,1.5738575641316273,1.0635973012386628,-1.2048228856094476,2.76,Moderate,6.8999999999999995,Good
11,1.56245131719932,3.6,0.3414731745995211,-0.1211723122160844,-1.6424628731174193,3.43,High,8.575000000000001,Achiever
12,-0.4044867675763731,1.1,1.0945969682024743,-0.35812623490703377,0.18766798373409974,2.97,Moderate,7.425000000000001,Good
13,-0.7557257112863185,2.2,-1.233240212024836,1.2413127432568747,0.2274534371439156,2.82,High,7.05,Good
14,-1.7391947536741656,3.3,0.6838021716917726,1.0043588205659255,-0.608041084462213,2.87,Low,7.175000000000001,Good
15,1.0004690072634081,0.3,-0.48011641842188274,-1.1874649643253568,1.1823043189794906,3.4,High,8.5,Achiever
16,-0.5449823450603514,0.3,-0.6170480172587836,-0.4173647155797712,1.619944306487463,3.2,Moderate,8.0,Good
17,0.7897256410374406,2.6,1.2999943664578257,-0.6543186382707206,-1.0058956185603694,3.36,High,8.4,Good
